cook-time,cuisine,diet,difficulty,directions,dish-name,ingredients,link,description,picture,prep-time,rating
none,american,"['Freezable', 'Vegetarian']", Easy ,"Beat the butter and sugar together, preferably in a mixer. Add the vanilla, 1 /2 tsp salt and the flour, then mix until it looks like breadcrumbs. Keep mixing as you add the milk and you’re done – delicious, safe, raw cookie dough. If it’s not amazing enough as it is, then go crazy with these flavourings:
Salted caramel dough: Swirl 1 tbsp dulce de leche through the dough, plus 1/2 tsp of salt and a handful of dark chocolate chips.
S'more cookie dough: Add 1 tbsp Nutella, 2 crumbled digestive biscuits, and some mini marshmallows.
Apple & cinnamon dough: Add some little chunks of dried apple and a sprinkle of cinnamon sugar (1 tsp cinnamon mixed with 1 tbsp soft brown sugar).
Peanut heaven dough: Add 1 tbsp peanut butter and a handful of peanut M&Ms.",Safe-to-eat uncooked cookie dough,"['100g butter, softened to room temperature', '175g soft brown sugar', '2 tsp vanilla extract', '140g plain flour', '2 tbsp full-fat milk']",https://www.bbcgoodfood.com/recipes/safe-eat-uncooked-cookie-dough,"Who doesn't love cookie dough and this one takes only minutes to make. Keep a batch in the fridge, eat it by the spoon, serve it with ice cream, or mould it, shape it and colour it with food dye like edible Play-Doh!",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/02/safe-to-eat-uncooked-cookie-dough.jpg?itok=KREhN-V7,5 mins,3
12 mins,american,['Gluten-free'], Easy ,"Heat oven to 200C/180C fan/gas 6. Put an ovenproof griddle pan on a high heat. Season the steak on both sides, then rub both sides with the garlic cloves, thyme and olive oil. Put the steak in the hot pan and char the underside for 2 mins or until griddle lines appear. Turn the steak over to brown the other side, rub the top with the thyme again, then lay the thyme and garlic on top of the meat.
Once evenly browned all over with griddle lines, put the thyme and garlic to one side, hold the steak with a pair of tongs to cook its fatty side and render it down so it’s soft rather than gristly. This will take a few mins. Lay the steak flat again, put the thyme, garlic and butter on top and transfer the pan to the oven to finish cooking for 4-5 mins, until the meat reaches 62-65C on a probe thermometer (or until cooked to your liking).
Rest the meat for 5-6 mins. Serve on a board or large plate in the middle of the table.",All-American T-bone,"['700g T-bone steak', '2 garlic cloves, bashed', '½ small pack thyme', '½ tbsp olive oil', '50g butter']",https://www.bbcgoodfood.com/recipes/all-american-t-bone,"For a special supper, try this classic American cut from the sirloin. The steak has a T-shaped bone with meat on each side, perfect for sharing",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/01/all-american-t-bone.jpg?itok=lvWrPGUT,5 mins,5
55 mins,american,no info, Easy ,"Heat oven to 180C/160C fan/gas 4. In a small pan, warm (don’t boil) the cherries in the bourbon, then leave to infuse for at least 20 mins.
Meanwhile, mix the cinnamon with the maple syrup and brush both sides of the bacon with it. Lay the rashers on a rack set over a roasting tin covered in foil and roast, basting occasionally with the syrup, for about 20 mins until they look nicely browned. Take them out and leave to cool completely on the rack while you make the brownie mixture.
Follow your chosen recipe to make the brownie mixture and heat oven to the required temperature. Drain the bourbon-soaked cherries and add them to the brownie mixture. Chop the bacon into little pieces (it will crumble very easily) and add to the mixture too, stirring everything together. Bake as per the recipe, then leave to cool completely before dusting with cocoa and slicing into squares.","Bourbon, black cherry & bacon brownies","['200g dried sour cherries', '100ml bourbon', '1 tsp cinnamon', '50ml maple syrup', '6 rashers smoked streaky bacon', 'your favourite brownie mixture (see Goes well with for our Best-ever brownies recipe)', 'a little cocoa powder, for dusting']",https://www.bbcgoodfood.com/recipes/emmas-almost-famous-bourbon-black-cherry-bacon-brownies,"These American traybake brownies include all of our favourite things, chocolate, booze and bacon - pure decadence",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/01/emmas-almost-famous-bourdon-black-cherry-and-bacon-browniesp.jpg?itok=Sz5NLV54,25 mins,4
40 mins,american,['Freezable'], Easy ,"Heat oven to 180C/160C fan/gas 4. Mix the oil, garlic and paprika together and rub into the pork. In a large, shallow ovenproof dish, mix the cannellini beans, passata, chipotle, sugar and ham hock. Nestle the pork into the beans. Bake in the oven for 40 mins until the pork is cooked through.
Toast the bread and serve on the side. Sprinkle the parsley over the pork and beans to serve.",Smoky pork & Boston beans one-pot,"['2 tbsp olive oil', '2 garlic cloves, crushed', '2 tbsp smoked paprika', '500g pork loin steaks, quartered', '2 x 400g cans cannellini beans, drained and rinsed', '400g passata', '2 tsp chipotle paste', '1 tbsp dark soft brown sugar', '100g ham hock, in large shreds', '4 slices crusty white bread', 'small handful flat-leaf parsley, roughly chopped']",https://www.bbcgoodfood.com/recipes/smoky-pork-boston-beans-one-pot,"Transform this American baked bean stew into a filling no-fuss meal with pork loin steaks and shredded ham hock - it saves on the washing up, too",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/smoky-pork-boston-beans-one-pot.jpg?itok=s9Zgnb2-,15 mins,4
1 hr,american,['Vegetarian'], More effort ,"Place the pumpkin in a large saucepan, cover with water and bring to the boil. Cover with a lid and simmer for 15 mins or until tender. Drain pumpkin; let cool.
Heat oven to 180C/160C fan/gas 4. Roll out the pastry on a lightly floured surface and use it to line a 22cm loose-bottomed tart tin. Chill for 15 mins. Line the pastry with baking parchment and baking beans, then bake for 15 mins. Remove the beans and paper, and cook for a further 10 mins until the base is pale golden and biscuity. Remove from the oven and allow to cool slightly.
Increase oven to 220C/200C fan/gas 7. Push the cooled pumpkin through a sieve into a large bowl. In a separate bowl, combine the sugar, salt, nutmeg and half the cinnamon. Mix in the beaten eggs, melted butter and milk, then add to the pumpkin purée and stir to combine. Pour into the tart shell and cook for 10 mins, then reduce the temperature to 180C/160C fan/gas 4. Continue to bake for 35-40 mins until the filling has just set.
Leave to cool, then remove the pie from the tin. Mix the remaining cinnamon with the icing sugar and dust over the pie. Serve chilled.",Pumpkin pie,"['750g/1lb 10oz pumpkin or butternut squash, peeled, deseeded and cut into chunks', '350g sweet shortcrust pastry', 'plain flour, for dusting', '140g caster sugar', '½ tsp salt', '½ tsp fresh nutmeg, grated', '1 tsp cinnamon', '2 eggs, beaten', '25g butter, melted', '175ml milk', '1 tbsp icing sugar']",https://www.bbcgoodfood.com/recipes/1742633/pumpkin-pie,Fill a sweet shortcrust pastry tart case with lightly spiced squash to make a traditional American treat,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--801482_11.jpg?itok=J_iBD0mH,40 mins,4
30 mins,american,['Burger only'], Easy ,"First make the relish: heat oil in a large frying pan and add the cumin. Let it cook for a moment, then throw in the bay, garlic, shallots and chilli. Cook for 2 mins until soft but not coloured, then add the celery and tomatoes. Sweat everything down gently for 20-30 mins until the tomatoes lose their shape. Remove from the heat, season and leave to cool. This can be made a few days in advance and kept in the fridge.
To make the burgers, mix the egg yolks in a large bowl with the oyster sauce and soaked breadcrumbs. Season with lots of fresh, black pepper then add the meat, breaking it up a little. Mix everything, trying not to overwork the mixture or the burger will become heavy.
Take the mix and divide in half, then into half and half again so you end up with 8 even pieces. Roll each one into a ball and place a 10 x 10cm square of greaseproof paper on the bottom and top. Put in the fridge for 15 mins to firm.
Heat a griddle pan. Take 4 burger balls from the fridge and push them down so they become discs about the size of a burger bun, about 2cm thick, between the 2 pieces of greaseproof. Peel the paper off one side and slap down in the pan with no oil or seasoning. Peel the top layer of paper off and cook on a very high heat for a couple of mins. In total, a burger this size will take about 5-10 mins to cook, but you need a bit of colour and texture, so exactly how long is up to you. I turn my burgers after 2 mins, but I cook on a very high heat, and I like them a little pink. Keep warm in a low oven while you cook the rest, topping with the cheese slices, if you like, for the final few mins so they melt a little.
Lay the 2 halves of the warm bun in front of you and butter them lightly. Spread the mayo on both sides followed by a little mustard on the top bun and tomato relish on the bottom. Place a slice of tomato on the bottom bun followed by the first burger with the cheese, then some bacon, then the next burger, more relish, lettuce and finally the guacamole. Top with the bun and eat with the gherkins on the side.",John Torode's big burger,"['1 tbsp olive oil', '2 tsp ground cumin', '1 bay leaf', '2 garlic cloves, crushed', '2 small shallots, chopped', '1 red chilli, chopped', '1 celery stick, chopped', '500g very ripe tomatoes, roughly chopped', '2 egg yolks', '50g oyster sauce', '6 slices bread, made into crumbs, then soaked in a little water', '1kg good-quality beef mince, not lean', '8 slices gruyères (optional)', '4 burger buns, warmed', 'little butter', '4 tbsp good-quality mayonnaise', 'squeezy mustard', '1 beef tomato, sliced', 'few cooked rashers streaky bacon', 'Little Gem lettuce leaves', ""guacamole, see 'goes well with'"", 'few gherkins']",https://www.bbcgoodfood.com/recipes/1263663/john-torodes-big-burger,"Not just any burger, John Torode's ultimate burger, with a spicy tomato relish and all the trimmings",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--606514_11.jpg?itok=PCPFaYyD,25 mins,4
1 hr,american,['Freezable'], Easy ,"Position an oven shelf in the middle of the oven. Heat the oven to 180C/ 160C fan/ gas 4.
Line the base of a 23cm springform cake tin by putting a square piece of parchment paper or foil on top of the tin base and then clipping the side on so the paper or foil is trapped and any excess sticks out of the bottom.
For the crust, melt 85g butter in a medium pan. Stir in 140g digestive biscuit crumbs and 1 tbsp golden caster or granulated sugar so the mixture is evenly moistened. 
Press the mixture into the bottom of the pan and bake for 10 minutes. Cool on a wire rack while preparing the filling.
For the filling, increase the oven temperature to fan 220C/ 200C fan/ gas 7. In a table top mixer fitted with the paddle attachment, beat 900g full-fat soft cheese at medium-low speed until creamy, about 2 minutes.
With the mixer on low, gradually add 250g golden caster sugar, then 3 tbsp plain flour and a pinch of salt, scraping down the sides of the bowl and the paddle twice.
Swap the paddle attachment for the whisk. Continue by adding 1½ tsp vanilla extract, 2 tsp lemon zest and 1½ tsp lemon juice. Whisk in 3 large eggs and 1 yolk, one at a time, scraping the bowl and whisk at least twice.
Stir a 284ml carton of soured cream until smooth, then measure 200ml (just over ¾ of the carton). Continue on low speed as you add the measured soured cream (reserve the rest). Whisk to blend, but don't over-beat. The batter should be smooth, light and somewhat airy.
Brush the sides of the springform tin with melted butter and put on a baking sheet. Pour in the filling - if there are any lumps, sink them using a knife - the top should be as smooth as possible. Bake for 10 minutes.
Reduce oven temperature to 110C/ 90C fan/ gas ¼ and bake for 45 minutes more. If you gently shake the tin, the filling should have a slight wobble.
Turn off the oven and open the oven door for a cheesecake that's creamy in the centre, or leave it closed if you prefer a drier texture. Let cool in the oven for 2 hours. The cheesecake may get a slight crack on top as it cools.
Combine the reserved soured cream with a 142ml carton soured cream, 1 tbsp golden caster sugar and 2 tsp lemon juice for the topping. Spread over the cheesecake right to the edges. Cover loosely with foil and refrigerate for at least 8 hours or overnight.
Run a round-bladed knife around the sides of the tin to loosen any stuck edges. Unlock the side, slide the cheesecake off the bottom of the tin onto a plate, then slide the parchment paper out from underneath.",New York cheesecake,"['85g butter, plus extra for tin', '140g digestive biscuits, made into fine crumbs (add 2 extra biscuits if you like a thicker base)', '1 tbsp sugar, granulated or golden caster', '900g Philadelphia cheese, or other full-fat soft cheese', '250g golden caster sugar', '3 tbsp plain flour', '1½ tsp vanilla extract', 'finely grated zest of 1 lemon (about 2 tsp)', '1½ tsp lemon juice', '3 large eggs, plus 1 yolk', '284ml carton soured cream', '142ml carton soured cream', '1 tbsp golden caster sugar', '2 tsp lemon juice']",https://www.bbcgoodfood.com/recipes/2869/new-york-cheesecake,This authentic creamy dessert will add a taste of New York to any dining table,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--1001487_11.jpg?itok=rUW9cFzU,20 mins,5
5 hrs,american,no info, Easy ,"Heat oven to 150C/130C fan/gas 2. Rub the pork with 2 tbsp of the olive oil. Heat a large non-stick pan until very hot and sear the pork on all sides until golden brown.
Place the meat on a wire rack in a roasting tin. Mix the paprika, mustard powder, garlic and onion salt, and some black pepper with the liquid smoke, if using. Brush all over the meat.
Add 1 cup of water to the roasting tin, cover very tightly with foil and cook for 5 hrs or until almost falling apart.
Drain the juices from the meat into a measuring jug. Shred the pork using 2 forks, discarding the fat.
Skim off the fat from the juices. Mix 125ml of the juices with 4 tbsp BBQ sauce (see recipe in 'goes well with') and pour over the meat. Keep warm until serving, or reheat.
To assemble, pile the meat into the halved brioche buns, spoon over the BBQ sauce, top with coleslaw and pickles, and sandwich together.",BBQ pulled pork,"['2½ kg boneless pork shoulder, skin removed', '3 tbsp olive oil', '2 tsp Spanish paprika (pimentón)', '2 tsp mustard powder', '1 tsp garlic salt', '1 tsp onion salt', '1 tbsp liquid smoke (optional, see tip, below)', ""16 brioche buns (see 'goes well with')"", ""Tangy cabbage slaw, homemade chipotle molasses BBQ sauce (see recipes in 'goes well with') and sweet-and-sour pickled cucumbers from a jar, sliced""]",https://www.bbcgoodfood.com/recipes/bbq-pulled-pork,"An American classic, the meat is slow-cooked then shredded or ‘pulled’ and layered with BBQ sauce, pickles and slaw in a soft brioche bun",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/pulled-pork-burger.jpg?itok=P6Eo3XAe,10 mins,5
12 mins,american,['Vegetarian'], Easy ,"Heat oven to 180C/160C fan/ gas 4 and line two baking sheets with parchment. Cream the butter, peanut butter and sugars together until very light and fluffy, then beat in the egg and vanilla. Once combined, stir in the flour, chopped peanuts, bicarb and ¼ tsp salt.
Scoop 10 large tbsps of the mixture onto the trays, leaving enough space between each to allow for spreading. Make a thumbprint in the centre of the cookies and fill each with 1 heaped tsp raspberry jam (you could make your own jam for this). Bake for 10-12 mins or until firm at the edges but still soft in the middle – they will harden a little as they cool. Leave to cool on the tray for a few mins before eating warm, or transfer to a wire rack to cool completely. Will keep for three days in an airtight container.",Peanut butter jelly cookies,"['70g butter, softened', '50g peanut butter', '75g light brown sugar', '75g golden caster sugar', '1 medium egg', '1 tsp vanilla extract', '180g plain flour', '2 tbsp chopped peanuts', '½ tsp bicarbonate of soda', '10 heaped tsp raspberry jam']",https://www.bbcgoodfood.com/recipes/peanut-butter-jelly-cookies,Enjoy the classic American combo of peanut butter and 'jelly' in a cookie. Buy a good quality raspberry jam or try making our easy homemade jam recipe,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2017/05/pbj.jpg?itok=I0hZVBA4,20 mins,5
none,american,no info, Easy ,"In a small bowl, whisk the dressing ingredients together with some salt. Arrange the salad ingredients separately on 2 plates or a platter, and serve with the dressing on the side.",Cobb salad with buttermilk ranch dressing,"['2 Baby Gem lettuces, leaves separated', '1 avocado, stoned and sliced', '2 plum tomatoes, chopped', '3 rashers cooked crispy bacon', '140g/5oz cooked turkey breast or chicken, cut into bite-sized pieces', '2 hard-boiled eggs, chopped into chunks', '75ml buttermilk', '2 tbsp light mayonnaise', '1 tbsp white wine vinegar', '1 tbsp chopped dill', '½ garlic clove, crushed']",https://www.bbcgoodfood.com/recipes/1841635/cobb-salad-with-buttermilk-ranch-dressing,"Get three of your five-a-day from this chicken and bacon salad, which can be adapted to use leftover turkey and is packed with protein and vitamins",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--851480_10.jpg?itok=m2Cm25dF,15 mins,5
25 mins,american,no info, Easy ,"Heat the oil in a large saucepan over a medium heat, then add the onion and bacon. Cook for 8-10 mins until the onion is soft and the bacon is cooked. Stir in the flour, then cook for a further 2 mins.
Pour in the fish stock and bring it up to a gentle simmer. Add the potatoes, cover, then simmer for 10-12 mins until the potatoes are cooked through.
Add the mace, cayenne pepper and some seasoning, then stir in the milk.
Tip the fish pie mix into the pan, gently simmer for 4 mins. Add the cream and shellfish, then simmer for 1 min more. Check the seasoning. Sprinkle with the parsley and serve with some crusty bread.",Simple seafood chowder,"['1 tbsp vegetable oil', '1 large onion, chopped', '100g streaky bacon, chopped', '1 tbsp plain flour', '600ml fish stock, made from 1 fish stock cube', '225g new potato, halved', 'pinch mace', 'pinch cayenne pepper', '300ml milk', '320g pack fish pie mix (salmon, haddock and smoked haddock)', '4 tbsp single cream', '250g pack cooked mixed shellfish', 'small bunch parsley, chopped', 'crusty bread, to serve']",https://www.bbcgoodfood.com/recipes/2121649/simple-seafood-chowder,"A chunky, creamy soup with salmon and smoked haddock, mixed shellfish and potatoes - a hearty meal",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--950519_11.jpg?itok=ZmvXEHvq,15 mins,5
2 mins,american,['Vegetarian'], Easy ,"Preheat the grill to high and line a large baking sheet with parchment. Put all 16 malted milks on the tray with a square of milk chocolate on 8 and a marshmallow on the remaining 8. Grill until both are melting.
Sandwich the two different types on top of each other until oozing at the edges and eat while hot or dunked in a hot chocolate for extra chocolately flavour.",Malt hot chocolate s'mores,"['16 malted milk biscuits', '8 squares of milk chocolate', '8 marshmallows (vegetarian brand, if required)']",https://www.bbcgoodfood.com/recipes/malt-hot-chocolate-smores,Try a twist on American-style marshmallow and chocolate s'mores by swapping the traditional crackers for malted biscuits,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/malted-milk-smore.jpg?itok=ZP21wkIA,3 mins,3
20 mins,american,no info, Easy ,"Heat oven to 200C/180C fan/gas 6. Place the chips on a non-stick baking tray, toss with oil and Cajun seasoning, then spread out in a single layer. Pop in the oven and bake, turning once, for 20-25 mins or until golden and crisp. Season.
Meanwhile, mix the mayonnaise, chives and mustard in a small bowl and season. Spread the mix onto 2 of the slices of bread. Layer 1 spread slice with radishes and avocado. Place the other slice, spread-side up, on top and add the salt beef and lettuce. Top with the final slice.
Cut up and secure with cocktail sticks if you like, then serve alongside the fries.",Salt beef club with Cajun fries,"['1 big potato, cut into thin chips', '2 tsp olive oil', '½ tsp Cajun seasoning', '1 heaped tbsp mayonnaise', '1 tsp chopped chive', '1 tsp Dijon mustard', '3 slices white or brown bread, lightly toasted', '2 radishes, thinly sliced', '1 baby or ½ avocado, sliced', '2 slices salt beef', 'couple Little Gem lettuce leaves']",https://www.bbcgoodfood.com/recipes/2121671/salt-beef-club-with-cajun-fries,"An indulgent solo supper of a layered sandwich with sliced beef, creamy dressing and homemade chips",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--950601_10.jpg?itok=sUyqwn1u,10 mins,5
20 mins,american,no info, Easy ,"Cut the chicken breasts in half lengthways so you are left with 8 chicken strips. Mix the garlic, paprika, lemon juice and 1 tbsp oil with some seasoning and toss with the chicken. Leave to marinate for at least 15 mins.
Heat a griddle pan and brush with half the remaining oil and cook the chicken for 3-4 mins each side until cooked through. Brush over the remaining oil and griddle the corn cobs, turning to cook evenly, for about 5 mins or until lightly charred. Remove and cut off the kernels.
Mix the lettuce and cucumber, top with the corn and chicken, and drizzle over your choice of dressing.",Griddled chicken & corn on the cob salad,"['4 small skinless chicken breasts', '2 garlic cloves, crushed', '1 tbsp paprika', 'juice 1 lemon', '2 tbsp olive oil', '2 corn cobs', '4 Little Gem lettuces, quartered lengthways', '½ cucumber, diced']",https://www.bbcgoodfood.com/recipes/2196645/griddled-chicken-and-corn-on-the-cob-salad,"Grill whole sweetcorn and serve with paprika-spiced chicken and crisp Little Gem for a healthy, speedy salad",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2012/06/griddled-chicken.jpg?itok=-7XYMt4X,15 mins,5
15 mins,american,no info, Easy ,"Heat oven to 220C/200C fan/gas 7. Spread the sausages in a roasting tin and cook for 20-25 mins, turning, until golden and cooked through.
Meanwhile, fry the onions in a splash of oil over a high heat until almost softened and browning. Stir in the sweet chilli sauce and tomato purée with some seasoning, and cook for 1 min more.
Split the hot dog buns, add a spoonful of the sweet chilli onions, top with a sausage, then a spoonful more onions.",Sweet chilli dogs,"['4 fat sausages (sweet chilli if you can get them)', '2 onions, red, white or one of each', '4 tbsp sweet chilli sauce', '2 tbsp tomato purée', '4 hot dog buns']",https://www.bbcgoodfood.com/recipes/2195645/sweet-chilli-dogs,"Only five ingredients are needed for these low calorie, spicy hot dogs made from pork sausages and caramelised onion",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--981456_11.jpg?itok=iaGxcJaj,10 mins,5
25 mins,american,no info, Easy ,"Heat the oven to 160C/fan 140C/gas 3.
Whizz 300g Hob Nobs to crumbs in a food processor (or put in a strong plastic bag and bash with a rolling pin).
Mix with 150g melted butter and press into the base and up the sides of a 22cm loose-based tart tin. Bake in the oven for 10 minutes. Remove and cool.
Put 3 medium egg yolks in a large bowl and whisk for a minute with electric beaters.
Add a can of condensed milk and whisk for 3 minutes, then add the finely grated zest and juice of 4 limes and whisk again for 3 minutes.
Pour the filling into the cooled base then put back in the oven for 15 minutes. Cool then chill for at least 3 hours or overnight if you like. When you are ready to serve, carefully remove the pie from the tin and put on a serving plate.
To decorate, softly whip together 300ml double cream and 1 tbsp icing sugar.
Dollop or pipe the cream onto the top of the pie and finish with extra lime zest.",Key lime pie,"['300g Hob Nobs', '150g butter, melted', '1 x 397g can condensed milk (we used Nestlé)', '3 medium egg yolks', 'finely grated zest and juice of 4 limes', '300ml double cream', '1 tbsp icing sugar', 'extra lime zest, to decorate']",https://www.bbcgoodfood.com/recipes/2155644/key-lime-pie,"Lime, cream and a buttery biscuit base - this zesty oven-baked treat makes a refreshing and indulgent end to a meal",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--950563_11.jpg?itok=BqfLQopP,30 mins,5
none,american,no info, Easy ,"In a large bowl, mix the mayonnaise, lemon juice, Worcestershire sauce, grated Parmesan and garlic, then season. When ready to eat, add the chicken slices, croutons and lettuce. Mix well and sprinkle with extra Parmesan, if you like.",Caesar salad with crispy chicken,"['4 crispy chicken thighs, sliced (see Tip)', '125ml light mayonnaise', 'juice 1 lemon', '1 tbsp Worcestershire sauce', '50g parmesan, grated, plus extra to serve (optional)', '1 garlic clove, crushed', '50g croûton', '1 large Cos lettuce or 4 Little Gem, ripped into pieces']",https://www.bbcgoodfood.com/recipes/1959640/caesar-salad-with-crispy-chicken,Have chicken left over from supper? Use it up in a crisp salad with creamy Caesar dressing,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--911561_11.jpg?itok=by1qi2Dw,5 mins,5
2 hrs,american,no info, Easy ,"Heat oven to 150C/130C fan/gas 2. Put the ribs in a roasting tin in a single layer and just cover with water. Cover with foil and cook for 1½ hrs. Drain well. If you are not finishing these straight away, cover and chill until ready to cook.
Meanwhile, fry the onion in the oil in a pan until soft. Add the garlic, smoked paprika and chilli powder and fry for 1 min. Add the passata, purée, vinegar and sugar and bring everything to a simmer. Cook for 10 mins. If you are not using this sauce straight away, cool and chill.
Heat oven to 220C/200C fan/gas 7. Brush the ribs all over with the sauce and lay on a baking sheet. Mix the potatoes with the oil, rosemary and seasoning in a large roasting tin. Roast for 40 mins on a middle shelf, with the ribs on the shelf above. Turn the ribs and potatoes halfway, until both are nicely browned all over. Tip the potatoes into a large bowl sprinkle with the vinegar and serve hot, warm or cold. Slice the ribs to serve and put any extra sauce into bowls for dipping.",Sticky ribs with roast potato salad,"['3 racks pork spare ribs, or about 1½ kg/3lb 5oz single pork spare ribs', '1 small onion, diced', '1 tbsp olive oil', '1 garlic clove, crushed', '2 tbsp smoked paprika', '1 tsp mild chilli powder', '300ml tomato passata', '2 tbsp tomato purée', '150ml cider, white or red wine vinegar', '125g dark muscovado sugar', '1½ kg new potatoes, skin on', '2 tbsp olive oil', '1-2 rosemary sprigs, finely chopped, or a pinch of mixed dried herbs', '2 tbsp white or red wine vinegar']",https://www.bbcgoodfood.com/recipes/679636/sticky-ribs-with-roast-potato-salad,"When the kids have friends over, this stack of ribs and spuds is a cheap, crowd-pleasing, prepare-ahead option",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--350523_10.jpg?itok=cOkUZmqw,20 mins,4
35 mins,american,no info, Easy ,"Heat oven to 200C/180C fan/gas 6. Crush the pretzels in a food processor or bash up in a plastic bag using a rolling pin. Transfer pretzel crumbs to a plate. Season the chicken, toss in flour, dip into the egg, then roll in the pretzel crumbs. Place on a baking tray, drizzle over the oil and bake for 35 mins until crisp and tender.
In a small bowl, mix the mustard, honey and vinegar. Reserve 4 of the chicken thighs for lunch. (You can use them in the Caesar salad with crispy chicken recipe, look at 'Goes well with...') Serve the remaining chicken with the sauce and green veg or salad and potatoes.",Crispy pretzel chicken with honey-mustard sauce,"['100g salted pretzel', '12 boneless, skinless chicken thighs', 'flour, for dusting', '2 eggs, beaten with a fork', '1 tbsp olive oil', '100ml wholegrain mustard', '4 tbsp honey', '1 tsp white wine vinegar', 'green veg or salad and potatoes, to serve (optional)']",https://www.bbcgoodfood.com/recipes/1959639/crispy-pretzel-chicken-with-honeymustard-sauce,"Pretzel crumbs create a super-crisp coating for chicken, and oven cooking reduces the fat content. This recipe makes extra for lunch the next day",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--911556_11.jpg?itok=px-KVn3K,15 mins,5
40 mins,american,['Freezable'], Easy ,"Heat oven to 180C/160C fan/gas 4. Line a 20 x 30cm baking tray tin with baking parchment. Put the chocolate, butter and sugar in a pan and gently melt, stirring occasionally with a wooden spoon. Remove from the heat.
Stir the eggs, one by one, into the melted chocolate mixture. Sieve over the flour and cocoa, and stir in. Stir in half the raspberries, scrape into the tray, then scatter over the remaining raspberries. Bake on the middle shelf for 30 mins or, if you prefer a firmer texture, for 5 mins more. Cool before slicing into squares. Store in an airtight container for up to 3 days.",Best ever chocolate raspberry brownies,"['200g dark chocolate, broken into chunks', '100g milk chocolate, broken into chunks', '250g pack salted butter', '400g soft light brown sugar', '4 large eggs', '140g plain flour', '50g cocoa powder', '200g raspberries']",https://www.bbcgoodfood.com/recipes/2121648/bestever-chocolate-raspberry-brownies,"Squidgy and super moreish, these gorgeous foolproof fruity chocolate bakes will be snapped up in seconds",//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--950516_11.jpg?itok=_VU1QaiM,10 mins,5
20 mins,american,no info, Easy ,"If serving with pancetta, heat oven to 200C/180C fan/gas 6. Line a baking tray with baking parchment and lay on the pancetta in a single layer. Put another piece of parchment on top, followed by a second baking tray, and bake for 12-15 mins until crisp.
To make the pancakes, get a little helper to weigh out and tip the flour, baking powder and sugar into a large bowl with a small pinch of salt. Crack in the eggs and whisk until smooth. Add the maple syrup and milk while whisking.
Heat a splash of oil and a small knob of butter in a non-stick frying pan until sizzling. Add spoonfuls of batter to make pancakes the size you like. Cook until bubbles start to form on the surface, then flip and cook the other side. Eat straight away or keep warm in a low oven while you cook another batch. Serve pancakes with pancetta or blueberries, drizzled with extra maple syrup.",Fluffy pancakes,"['8 slices pancetta, to serve (optional)', 'sunflower oil and butter, for cooking', 'blueberries, to serve (optional)', '300g self-raising flour', '1 tsp baking powder', '1 tbsp caster sugar', '2 medium eggs', '1 tbsp maple syrup, plus extra to serve', '300ml milk']",https://www.bbcgoodfood.com/recipes/1974644/emilys-platesized-pancakes,Fluffy American-style pancakes are a blank canvas for toppings like blueberries and bacon - great for breakfast in bed. Why not get the kids to help?,//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--1273473_7.jpg?itok=104sXOeD,10 mins,5
